twitter_account,twitter_user,full_name,party
StevenHorsford,Steven Horsford,Steven Horsford,D
votetimscott,Tim Scott,Tim Scott,R
RepTimRyan,Congressman Tim Ryan,Tim Ryan,D
RepDelBene,Rep. Suzan DelBene,Suzan DelBene,D
tomemmer,Tom Emmer,Tom Emmer,R
RepSheaPorter,Rep. Shea-Porter,Carol Shea-Porter,D
RepLBR,Rep. Lisa Blunt Rochester,Lisa Blunt Rochester,D
LloydDoggettTX,Rep. Lloyd Doggett,Lloyd Doggett,D
womack4congress,Steve Womack,Steve Womack,R
RepMaloney,Carolyn B. Maloney,Carolyn Maloney,D
Tcardenas,#TonyCardenas,Tony Cardenas,D
PaulTonko,Paul D. Tonko,Paul Tonko,D
electadamsmith,Adam Smith,Adam Smith,D
