user,first_name,last_name,party
RepRussell,russ,fulcher,R
RepScottPerry,scott,perry,R
RepSchrader,kurt,schrader,D
RepJimRenacci,jim,renacci,R
RepJBridenstine,jim,bridenstine,R
KeithRothfus,keith,rothfus,R
CongBoyle,brendan,boyle,D
RepJoeWilson,joe,wilson,R
RepTomRice,tom,rice,R
RepGonzalez,anthony,gonzalez,R
LamarSmithTX21,lamar,smith,R
JudgeTedPoe,ted,poe,R
JoaquinCastrotx,joaquin,castro,D
MacTXPress,mac,thornberry,R
RepKristiNoem,kristi,noem,R
MarshaBlackburn,marsha,blackburn,R
Clyburn,jim,clyburn,D
RepDianeBlack,diane,black,R
RepCartwright,matt,cartwright,D
RepMcCaul,michael,mccaul,R
RepArrington,jodey,arrington,R
USRepMikeDoyle,mike,doyle,D
RepCohen,steve,cohen,D
DrPhilRoe,phil,roe,R
RepCicilline,david,cicilline,D
RepBetoORourke,beto,orourke,D
RepChuck,judy,chu,D
RepMiaLove,mia,love,R
RepEBJ,eddie,johnson,D
RobWittman,rob,wittman,R
GerryConnolly,gerry,connolly,D
RepVeasey,marc,veasey,D
RepRWilliams,roger,williams,R
RepBrianBabin,brian,babin,R
RepRobBishop,rob,bishop,R
RepComstock,barbara,comstock,R
JudgeCarter,john,carter,R
RepMcEachin,donald,mceachin,D
RepCuellar,henry,cuellar,D
RepGwenMoore,gwen,moore,D
RepGallagher,mike,gallagher,R
RepDennyHeck,denny,heck,D
cathymcmorris,cathy,rodgers,R
RepJayapal,pramila,jayapal,D
RepMcKinley,david,mckinley,R
RepGrothman,ro,khanna,D
davereichert,dave,reichert,R
RepDonBeyer,don,beyer,D
RepGoodlatte,bob,goodlatte,R
HerreraBeutler,jaime,beutler,R
StaceyPlaskett,stacey,plaskett,D
RepAlLawsonJr,al,lawson,D
RepJudyChu,judy,chu,D
RepDavidValadao,david,valadao,R
SteveKingIA,steve,king,R
RepAbraham,ralph,abraham,R
RepMarthaRoby,martha,roby,R
RepMikeRogersAL,mike,rogers,R
JeffFortenberry,jeff,fortenberry,R
janschakowsky,jan,schakowsky,D
RepJuanVargas,juan,vargas,D
Scotttaylorva,scott,taylor,R
RepWesterman,bruce,westerman,R
CongressmanHice,jody,hice,R
RepPaulCook,paul,cook,R
chelliepingree,chellie,pingree,D
RepBobbyRush,bobby,rush,D
RepAndyBiggsAZ,andy,biggs,R
RepRubenGallego,ruben,gallego,D
RepRoybalAllard,lucille,roybalallard,D
RepHalRogers,hal,rogers,R
brettguthrie,brett,guthrie,R
nikiinthehouse,niki,tsongas,D
RepDavid,david,schweikert,R
RepMikeCoffman,mike,coffman,R
RepCurbelo,carlos,curbelo,R
RepDonBacon,don,bacon,R
RepRooney,ro,khanna,D
RepJohnLarson,john,larson,D
RepBost,mike,bost,R
ToddRokita,todd,rokita,R
RepLipinski,dan,lipinski,D
RepGosar,paul,gosar,R
RepPerlmutter,ed,perlmutter,D
RepScottPeters,scott,peters,D
RepMoBrooks,mo,brooks,R
RepThomasMassie,thomas,massie,R
RepTerriSewell,terri,sewell,D
RepRoKhanna,ro,khanna,D
RepMikeQuigley,mike,quigley,D
Raul_Labrador,raul,labrador,R
RepJackBergman,jack,bergman,R
AnthonyBrownMD4,anthony,brown,D
USRepKCastor,kathy,castor,D
RepLukeMesser,luke,messer,R
justinamash,justin,amash,R
daveloebsack,dave,loebsack,D
Rep_Hunter,duncan,hunter,R
RepPaulMitchell,paul,mitchell,R
RepKevinYoder,kevin,yoder,R
RepBecerra,xavier,becerra,D
RepJimmyPanetta,jimmy,panetta,D
RepJoeKennedy,joe,kennedy,D
RepKenBuck,ken,buck,R
RepAndyBarr,andy,barr,R
RepAmata,amata,radewagen,R
RepBera,ami,bera,D
RepVisclosky,pete,visclosky,D
RepSinema,kyrsten,sinema,D
SteveScalise,steve,scalise,R
RepValDemings,val,demings,D
RepMcClintock,tom,mcclintock,R
RepDerekKilmer,derek,kilmer,D
RepLaHood,darin,lahood,R
RepDebDingell,debbie,dingell,D
RepBrianMast,brian,mast,R
repdavidscott,david,scott,D
RepOHalleran,tom,ohalleran,D
RepPeteAguilar,pete,aguilar,D
USRepKeating,bill,keating,D
BradSherman,brad,sherman,D
Call_Me_Dutch,dutch,ruppersberger,D
RepDennisRoss,dennis,ross,R
RepCummings,elijah,cummings,D
PeterRoskam,peter,roskam,R
RepFrenchHill,french,hill,R
RodneyDavis,rodney,davis,R
GovRonDeSantis,ron,desantis,R
RepRickAllen,rick,allen,R
repjohnlewis,john,lewis,D
RepDavidYoung,david,young,R
RepMcSally,martha,mcsally,R
RepGaramendi,john,garamendi,D
RepRodBlum,rod,blum,R
RepHankJohnson,hank,johnson,D
RepWilson,frederica,wilson,D
CongMikeSimpson,mike,simpson,R
RepLowenthal,alan,lowenthal,D
RepBillFoster,bill,foster,D
